_id,abrasion,brand,certifications,cleaningCode,colors,content.polyester,fabric,finish,horizontalRepeat,image,leadTime,moq,origin,pattern,patternType,price,railRoaded,sku,theme,use,verticalRepeat,width
644085a13fa8c86a031f5ce7,0,Kismet,[],W,[],100,"[""sheer""]",FR,0,http://kismettekstil.com/Content/Images/3037.290.2569.13/1_MidSize.jpg,3,100,Türkiye,"[""solid""]",,0,0,"""2569""",Grand,curtain,0,300
644085a13fa8c86a031f5ce8,0,Kismet,[],W,[],100,"[""sheer""]",FR,0,http://kismettekstil.com/Content/Images/3079.300.60001.1/1_MidSize.jpg,3,100,Türkiye,"[""solid""]",,0,0,"""60001""",Grand,curtain,0,300
644085a13fa8c86a031f5ce9,0,Kismet,[],W,[],100,"[""opaque""]",FR,0,http://kismettekstil.com/Content/Images/3116.320.21201.9/1_MidSize.jpg,3,100,Türkiye,"[""floral""]",,0,0,"""21201""",Grand,curtain,0,300
644085a13fa8c86a031f5cea,0,Kismet,[],W,[],100,"[""opaque""]",FR,0,http://kismettekstil.com/Content/Images/3005.290.21087.7/1_MidSize.jpg,3,100,Türkiye,"[""damask""]",,0,0,"""21087""",Grand,curtain,0,300
644085a13fa8c86a031f5ceb,0,Kismet,[],W,[],100,"[""opaque""]",FR,0,http://kismettekstil.com/Content/Images/3004.290.21086.6/1_MidSize.jpg,3,100,Türkiye,"[""damask""]",,0,0,"""21086""",Grand,curtain,0,300
644085a13fa8c86a031f5cec,0,Kismet,[],W,[],100,"[""opaque""]",FR,0,http://kismettekstil.com/Content/Images/3004.290.21076.6/1_MidSize.jpg,3,100,Türkiye,"[""damask""]",,0,0,"""21076""",Grand,curtain,0,300
644085a13fa8c86a031f5ced,0,Kismet,[],W,[],100,"[""opaque""]",FR,0,http://kismettekstil.com/Content/Images/3061.290.8265.7/1_MidSize.jpg,3,100,Türkiye,"[""damask""]",,0,0,"""8265""",Grand,curtain,0,300
644085a13fa8c86a031f5cee,0,Kismet,[],W,[],100,"[""sheer""]",FR,0,http://kismettekstil.com/Content/Images/3037.290.2745.22/1_MidSize.jpg,3,100,Türkiye,"[""solid""]",,0,0,"""2745""",Grand,curtain,0,300
644085a13fa8c86a031f5cef,0,Kismet,[],W,[],100,"[""sheer""]",FR,0,http://kismettekstil.com/Content/Images/3037.300.324124.3/1_MidSize.jpg,3,100,Türkiye,"[""vstripe""]",,0,0,"""324124""",Grand,curtain,0,300
644085a13fa8c86a031f5cf0,0,Kismet,[],W,[],100,"[""sheer""]",FR,0,http://kismettekstil.com/Content/Images/3037.300.324123.1/1_MidSize.jpg,3,100,Türkiye,"[""vstripe""]",,0,0,"""324123""",Grand,curtain,0,300
644085a13fa8c86a031f5cf1,0,Kismet,[],W,[],100,"[""sheer""]",FR,0,http://kismettekstil.com/Content/Images/3037.300.324122.1/1_MidSize.jpg,3,100,Türkiye,"[""vstripe""]",,0,0,"""324122""",Grand,curtain,0,300
644085a13fa8c86a031f5cf2,0,Kismet,[],W,[],100,"[""sheer""]",FR,0,http://kismettekstil.com/Content/Images/3037.300.324121.2/1_MidSize.jpg,3,100,Türkiye,"[""solid""]",,0,0,"""324121""",Grand,curtain,0,300
644085a13fa8c86a031f5cf3,0,Kismet,[],W,[],100,"[""sheer""]",FR,0,http://kismettekstil.com/Content/Images/3109.300.13113.1/1_MidSize.jpg,3,100,Türkiye,"[""hstripe""]",,0,0,"""13113""",Grand,curtain,0,300
