abrasion,brand,certifications,cleaningCode,colors,content,finish,horizontalRepeat,image,leadTime,moq,origin,price,railRoaded,sku,pattern,patternType,fabric,theme,use,verticalRepeat,width
0,Kismet,[],W,[],"{""polyester"":100}",FR,0,http://kismettekstil.com/Content/Images/3061.290.3219.13/1_MidSize.jpg,3,100,Türkiye,0,0,3219,"[""solid""]",,"[""opaque""]",Grand,curtain,0,300
0,Kismet,[],W,[],"{""polyester"":100}",FR,0,http://kismettekstil.com/Content/Images/3004.290.21082.4/1_MidSize.jpg,3,100,Türkiye,0,0,21082,"[""damask""]",,"[""opaque""]",Grand,curtain,0,300
0,Kismet,[],W,[],"{""polyester"":100}",FR,0,http://kismettekstil.com/Content/Images/3111.300.13110.3/1_MidSize.jpg,3,100,Türkiye,0,0,13110,"[""hstripe""]",,"[""semi-sheer""]",Grand,curtain,0,300
0,Kismet,[],W,[],"{""polyester"":100}",FR,0,http://kismettekstil.com/Content/Images/3061.290.49035.3/1_MidSize.jpg,3,100,Türkiye,0,0,49035,"[""damask"",""polkadot""]",,"[""opaque""]",Grand,curtain,0,300
0,Kismet,[],W,[],"{""polyester"":100}",FR,0,http://kismettekstil.com/Content/Images/3037.290.70541.101/1_MidSize.jpg,3,100,Türkiye,0,0,70541,"[""ornate""]",,"[""semi-sheer""]",Grand,curtain,0,300
0,Kismet,[],W,[],"{""polyester"":100}",FR,0,http://kismettekstil.com/Content/Images/3037.290.70323.101/1_MidSize.jpg,3,100,Türkiye,0,0,70323,"[""ornate""]",,"[""semi-sheer""]",Grand,curtain,0,300
0,Kismet,[],W,[],"{""polyester"":100}",FR,0,http://kismettekstil.com/Content/Images/3004.290.21081.8/1_MidSize.jpg,3,100,Türkiye,0,0,21081,"[""damask""]",,"[""opaque""]",Grand,curtain,0,300
0,Kismet,[],W,[],"{""polyester"":100}",FR,0,http://kismettekstil.com/Content/Images/3004.290.21079.6/1_MidSize.jpg,3,100,Türkiye,0,0,21079,"[""damask""]",,"[""opaque""]",Grand,curtain,0,300
0,Kismet,[],W,[],"{""polyester"":100}",FR,0,http://kismettekstil.com/Content/Images/3004.290.21075.4/1_MidSize.jpg,3,100,Türkiye,0,0,21075,"[""abstract""]",,"[""opaque""]",Grand,curtain,0,300
0,Kismet,[],W,[],"{""polyester"":100}",FR,0,http://kismettekstil.com/Content/Images/3061.290.3996.5/1_MidSize.jpg,3,100,Türkiye,0,0,3996,"[""abstract""]",,"[""opaque""]",Grand,curtain,0,300
0,Kismet,[],W,[],"{""polyester"":100}",FR,0,http://kismettekstil.com/Content/Images/3061.290.3995.7/1_MidSize.jpg,3,100,Türkiye,0,0,3995,"[""dstripe""]",,"[""opaque""]",Grand,curtain,0,300
0,Kismet,[],W,[],"{""polyester"":100}",FR,0,http://kismettekstil.com/Content/Images/3032.290.406.3/1_MidSize.jpg,3,100,Türkiye,0,0,406,"[""damask""]",,"[""opaque""]",Grand,curtain,0,300
0,Kismet,[],W,[],"{""polyester"":100}",FR,0,http://kismettekstil.com/Content/Images/3005.290.322322.25/1_MidSize.jpg,3,100,Türkiye,0,0,322322,"[""damask""]",,"[""opaque""]",Grand,curtain,0,300
0,Kismet,[],W,[],"{""polyester"":100}",FR,0,http://kismettekstil.com/Content/Images/3109.300.13109.2/1_MidSize.jpg,3,100,Türkiye,0,0,13109,"[""hstripe""]",,"[""sheer""]",Grand,curtain,0,300
