sku,width,content,price,name,brand,style,pattern,patternType,theme,origin,abrasion,use,image,certifications,colors,leadTime,moq,railRoaded,verticalRepeat,horizontalRepeat,finish,cleaningCode
10505,300,"{""polyester"":100}",0,Alisa,Kismet,embroidery,,embroidery,Vintage,Türkiye,0,curtain,http://kismettekstil.com/Content/Images/5652.290.10505.2/1_MidSize.jpg,[],[],3,100,0,0,0,FR,W
10504,300,"{""polyester"":100}",0,Penelope,Kismet,embroidery,,embroidery,Vintage,Türkiye,0,curtain,http://kismettekstil.com/Content/Images/5652.290.10504.2/1_MidSize.jpg,[],[],3,100,0,0,0,FR,W
10503,300,"{""polyester"":100}",0,Kaliyah,Kismet,embroidery,,embroidery,Vintage,Türkiye,0,curtain,http://kismettekstil.com/Content/Images/5652.290.10503.2/1_MidSize.jpg,[],[],3,100,0,0,0,FR,W
10501,300,"{""polyester"":100}",0,Hayden,Kismet,embroidery,,embroidery,Vintage,Türkiye,0,curtain,http://kismettekstil.com/Content/Images/5652.290.10501.2/1_MidSize.jpg,[],[],3,100,0,0,0,FR,W
124081,300,"{""polyester"":100}",0,Stephany,Kismet,embroidery,,embroidery,Vintage,Türkiye,0,curtain,http://kismettekstil.com/Content/Images/5762.300.124081.1509/1_MidSize.jpg,[],[],3,100,0,0,0,FR,W
124076,300,"{""polyester"":100}",0,Amelie,Kismet,embroidery,,embroidery,Vintage,Türkiye,0,curtain,http://kismettekstil.com/Content/Images/5762.300.124076.1503/1_MidSize.jpg,[],[],3,100,0,0,0,FR,W
17006,300,"{""polyester"":100}",0,Kianna,Kismet,embroidery,,embroidery,Vintage,Türkiye,0,curtain,http://kismettekstil.com/Content/Images/5652.290.17006.9/1_MidSize.jpg,[],[],3,100,0,0,0,FR,W
13307,300,"{""polyester"":100}",0,Bailey,Kismet,embroidery,,embroidery,Vintage,Türkiye,0,curtain,http://kismettekstil.com/Content/Images/5652.290.13307.5/1_MidSize.jpg,[],[],3,100,0,0,0,FR,W
81689,300,"{""polyester"":100}",0,Deborah,Kismet,embroidery,,embroidery,Vintage,Türkiye,0,curtain,http://kismettekstil.com/Content/Images/5651.300.81689.1317/1_MidSize.jpg,[],[],3,100,0,0,0,FR,W
81587,300,"{""polyester"":100}",0,Amina,Kismet,embroidery,,embroidery,Vintage,Türkiye,0,curtain,http://kismettekstil.com/Content/Images/5651.300.81587.1318/1_MidSize.jpg,[],[],3,100,0,0,0,FR,W
123974,300,"{""polyester"":100}",0,Tiffany,Kismet,embroidery,,embroidery,Vintage,Türkiye,0,curtain,http://kismettekstil.com/Content/Images/5651.300.123974.1317/1_MidSize.jpg,[],[],3,100,0,0,0,FR,W
123973,300,"{""polyester"":100}",0,Jolie,Kismet,embroidery,,embroidery,Vintage,Türkiye,0,curtain,http://kismettekstil.com/Content/Images/5651.300.123973.1318/1_MidSize.jpg,[],[],3,100,0,0,0,FR,W
123970,300,"{""polyester"":100}",0,Mila,Kismet,embroidery,,embroidery,Vintage,Türkiye,0,curtain,http://kismettekstil.com/Content/Images/5651.300.123970.1317/1_MidSize.jpg,[],[],3,100,0,0,0,FR,W
244340,300,"{""polyester"":100}",0,Anaya,Kismet,embroidery,,embroidery,Vintage,Türkiye,0,curtain,http://kismettekstil.com/Content/Images/5308.300.244340.2392/1_MidSize.jpg,[],[],3,100,0,0,0,FR,W
162828,300,"{""polyester"":100}",0,Lauren,Kismet,embroidery,,embroidery,Vintage,Türkiye,0,curtain,http://kismettekstil.com/Content/Images/5651.300.162828.1318/1_MidSize.jpg,[],[],3,100,0,0,0,FR,W
869,300,"{""polyester"":100}",0,Carlie,Kismet,embroidery,,embroidery,Vintage,Türkiye,0,curtain,http://kismettekstil.com/Content/Images/5652.290.869.1/1_MidSize.jpg,[],[],3,100,0,0,0,FR,W
868,300,"{""polyester"":100}",0,Selena,Kismet,embroidery,,embroidery,Vintage,Türkiye,0,curtain,http://kismettekstil.com/Content/Images/5652.290.868.1/1_MidSize.jpg,[],[],3,100,0,0,0,FR,W
867,300,"{""polyester"":100}",0,Thalia,Kismet,embroidery,,embroidery,Vintage,Türkiye,0,curtain,http://kismettekstil.com/Content/Images/5652.290.867.1/1_MidSize.jpg,[],[],3,100,0,0,0,FR,W
866,300,"{""polyester"":100}",0,Jewel,Kismet,embroidery,,embroidery,Vintage,Türkiye,0,curtain,http://kismettekstil.com/Content/Images/5652.290.866.6/1_MidSize.jpg,[],[],3,100,0,0,0,FR,W
865,300,"{""polyester"":100}",0,Caitlin,Kismet,embroidery,,embroidery,Vintage,Türkiye,0,curtain,http://kismettekstil.com/Content/Images/5652.290.865.1/1_MidSize.jpg,[],[],3,100,0,0,0,FR,W
864,300,"{""polyester"":100}",0,Carly,Kismet,embroidery,,embroidery,Vintage,Türkiye,0,curtain,http://kismettekstil.com/Content/Images/5652.290.864.5/1_MidSize.jpg,[],[],3,100,0,0,0,FR,W
863,300,"{""polyester"":100}",0,Carley,Kismet,embroidery,,embroidery,Vintage,Türkiye,0,curtain,http://kismettekstil.com/Content/Images/5652.290.863.3/1_MidSize.jpg,[],[],3,100,0,0,0,FR,W
862,300,"{""polyester"":100}",0,Larissa,Kismet,embroidery,,embroidery,Vintage,Türkiye,0,curtain,http://kismettekstil.com/Content/Images/5652.290.862.7/1_MidSize.jpg,[],[],3,100,0,0,0,FR,W
861,300,"{""polyester"":100}",0,Carolyn,Kismet,embroidery,,embroidery,Vintage,Türkiye,0,curtain,http://kismettekstil.com/Content/Images/5652.290.861.4/1_MidSize.jpg,[],[],3,100,0,0,0,FR,W
123978,300,"{""polyester"":100}",0,Diana,Kismet,embroidery,,embroidery,Vintage,Türkiye,0,curtain,http://kismettekstil.com/Content/Images/5651.300.123978.1318/1_MidSize.jpg,[],[],3,100,0,0,0,FR,W
123971,300,"{""polyester"":100}",0,Payten,Kismet,embroidery,,embroidery,Vintage,Türkiye,0,curtain,http://kismettekstil.com/Content/Images/5651.300.123971.1317/1_MidSize.jpg,[],[],3,100,0,0,0,FR,W
123967,300,"{""polyester"":100}",0,Kiana,Kismet,embroidery,,embroidery,Vintage,Türkiye,0,curtain,http://kismettekstil.com/Content/Images/5651.300.123967.1318/1_MidSize.jpg,[],[],3,100,0,0,0,FR,W
123959,300,"{""polyester"":100}",0,Aniyah,Kismet,embroidery,,embroidery,Vintage,Türkiye,0,curtain,http://kismettekstil.com/Content/Images/5651.300.123959.1317/1_MidSize.jpg,[],[],3,100,0,0,0,FR,W
244308,300,"{""polyester"":100}",0,Moriah,Kismet,embroidery,,embroidery,Vintage,Türkiye,0,curtain,http://kismettekstil.com/Content/Images/5762.300.244308.1503/1_MidSize.jpg,[],[],3,100,0,0,0,FR,W
244273,300,"{""polyester"":100}",0,Lesly,Kismet,embroidery,,embroidery,Vintage,Türkiye,0,curtain,http://kismettekstil.com/Content/Images/5762.300.244273.1503/1_MidSize.jpg,[],[],3,100,0,0,0,FR,W
162802,300,"{""polyester"":100}",0,Julissa,Kismet,embroidery,,embroidery,Vintage,Türkiye,0,curtain,http://kismettekstil.com/Content/Images/5762.300.162802.1509/1_MidSize.jpg,[],[],3,100,0,0,0,FR,W
162707,300,"{""polyester"":100}",0,Siena,Kismet,embroidery,,embroidery,Vintage,Türkiye,0,curtain,http://kismettekstil.com/Content/Images/5762.300.162707.1509/1_MidSize.jpg,[],[],3,100,0,0,0,FR,W
17005,300,"{""polyester"":100}",0,Jillian,Kismet,embroidery,,embroidery,Vintage,Türkiye,0,curtain,http://kismettekstil.com/Content/Images/5652.290.17005.103/1_MidSize.jpg,[],[],3,100,0,0,0,FR,W
123983,300,"{""polyester"":100}",0,Karlee,Kismet,embroidery,,embroidery,Vintage,Türkiye,0,curtain,http://kismettekstil.com/Content/Images/5651.300.123983.1317/1_MidSize.jpg,[],[],3,100,0,0,0,FR,W
123977,300,"{""polyester"":100}",0,Kinsley,Kismet,embroidery,,embroidery,Vintage,Türkiye,0,curtain,http://kismettekstil.com/Content/Images/5651.300.123977.1318/1_MidSize.jpg,[],[],3,100,0,0,0,FR,W
123929,300,"{""polyester"":100}",0,Reese,Kismet,embroidery,,embroidery,Vintage,Türkiye,0,curtain,http://kismettekstil.com/Content/Images/5651.300.123929.1317/1_MidSize.jpg,[],[],3,100,0,0,0,FR,W
244343,300,"{""polyester"":100}",0,Lizbeth,Kismet,embroidery,,embroidery,Vintage,Türkiye,0,curtain,http://kismettekstil.com/Content/Images/5270.300.244343.B907/1_MidSize.jpg,[],[],3,100,0,0,0,FR,W
81640,300,"{""polyester"":100}",0,Cameron,Kismet,embroidery,,embroidery,Vintage,Türkiye,0,curtain,http://kismettekstil.com/Content/Images/5651.300.81640.1318/1_MidSize.jpg,[],[],3,100,0,0,0,FR,W
81572,300,"{""polyester"":100}",0,Natalia,Kismet,embroidery,,embroidery,Vintage,Türkiye,0,curtain,http://kismettekstil.com/Content/Images/5651.300.81572.1317/1_MidSize.jpg,[],[],3,100,0,0,0,FR,W
482866,300,"{""polyester"":100}",0,Marisol,Kismet,embroidery,,embroidery,Vintage,Türkiye,0,curtain,http://kismettekstil.com/Content/Images/5701.300.482866.B883/1_MidSize.jpg,[],[],3,100,0,0,0,FR,W
244365,300,"{""polyester"":100}",0,Michelle,Kismet,embroidery,,embroidery,Vintage,Türkiye,0,curtain,http://kismettekstil.com/Content/Images/5651.300.244365.1318/1_MidSize.jpg,[],[],3,100,0,0,0,FR,W
244321,300,"{""polyester"":100}",0,Sasha,Kismet,embroidery,,embroidery,Vintage,Türkiye,0,curtain,http://kismettekstil.com/Content/Images/5651.300.244321.1311/1_MidSize.jpg,[],[],3,100,0,0,0,FR,W
244245,300,"{""polyester"":100}",0,Esmeralda,Kismet,embroidery,,embroidery,Vintage,Türkiye,0,curtain,http://kismettekstil.com/Content/Images/5651.300.244245.2381/1_MidSize.jpg,[],[],3,100,0,0,0,FR,W
17004,300,"{""polyester"":100}",0,Gabriela,Kismet,embroidery,,embroidery,Vintage,Türkiye,0,curtain,http://kismettekstil.com/Content/Images/5652.290.17004.3/1_MidSize.jpg,[],[],3,100,0,0,0,FR,W
123964,300,"{""polyester"":100}",0,Marina,Kismet,embroidery,,embroidery,Vintage,Türkiye,0,curtain,http://kismettekstil.com/Content/Images/5651.300.123964.1317/1_MidSize.jpg,[],[],3,100,0,0,0,FR,W
123944,300,"{""polyester"":100}",0,Madilynn,Kismet,embroidery,,embroidery,Vintage,Türkiye,0,curtain,http://kismettekstil.com/Content/Images/5651.300.123944.1318/1_MidSize.jpg,[],[],3,100,0,0,0,FR,W
96021,300,"{""polyester"":100}",0,Baylee,Kismet,embroidery,,embroidery,Vintage,Türkiye,0,curtain,http://kismettekstil.com/Content/Images/5270.300.96021.2158/1_MidSize.jpg,[],[],3,100,0,0,0,FR,W
918,300,"{""polyester"":100}",0,Celia,Kismet,embroidery,,embroidery,Vintage,Türkiye,0,curtain,http://kismettekstil.com/Content/Images/5652.290.918.1/1_MidSize.jpg,[],[],3,100,0,0,0,FR,W
816,300,"{""polyester"":100}",0,Eden,Kismet,embroidery,,embroidery,Vintage,Türkiye,0,curtain,http://kismettekstil.com/Content/Images/5651.290.816.2/1_MidSize.jpg,[],[],3,100,0,0,0,FR,W
81598,300,"{""polyester"":100}",0,Mckenna,Kismet,embroidery,,embroidery,Vintage,Türkiye,0,curtain,http://kismettekstil.com/Content/Images/5651.300.81598.1317/1_MidSize.jpg,[],[],3,100,0,0,0,FR,W
81597,300,"{""polyester"":100}",0,Tanya,Kismet,embroidery,,embroidery,Vintage,Türkiye,0,curtain,http://kismettekstil.com/Content/Images/5651.300.81597.1317/1_MidSize.jpg,[],[],3,100,0,0,0,FR,W
81588,300,"{""polyester"":100}",0,Raven,Kismet,embroidery,,embroidery,Vintage,Türkiye,0,curtain,http://kismettekstil.com/Content/Images/5651.300.81588.1317/1_MidSize.jpg,[],[],3,100,0,0,0,FR,W
81557,300,"{""polyester"":100}",0,Lilianna,Kismet,embroidery,,embroidery,Vintage,Türkiye,0,curtain,http://kismettekstil.com/Content/Images/5651.300.81557.1317/1_MidSize.jpg,[],[],3,100,0,0,0,FR,W
81530,300,"{""polyester"":100}",0,Aliza,Kismet,embroidery,,embroidery,Vintage,Türkiye,0,curtain,http://kismettekstil.com/Content/Images/5651.300.81530.1317/1_MidSize.jpg,[],[],3,100,0,0,0,FR,W
81525,300,"{""polyester"":100}",0,Emilie,Kismet,embroidery,,embroidery,Vintage,Türkiye,0,curtain,http://kismettekstil.com/Content/Images/5651.300.81525.1317/1_MidSize.jpg,[],[],3,100,0,0,0,FR,W
81523,300,"{""polyester"":100}",0,Heidy,Kismet,embroidery,,embroidery,Vintage,Türkiye,0,curtain,http://kismettekstil.com/Content/Images/5651.300.81523.1317/1_MidSize.jpg,[],[],3,100,0,0,0,FR,W
81522,300,"{""polyester"":100}",0,Aria,Kismet,embroidery,,embroidery,Vintage,Türkiye,0,curtain,http://kismettekstil.com/Content/Images/5651.300.81522.1317/1_MidSize.jpg,[],[],3,100,0,0,0,FR,W
81520,300,"{""polyester"":100}",0,Tara,Kismet,embroidery,,embroidery,Vintage,Türkiye,0,curtain,http://kismettekstil.com/Content/Images/5651.300.81520.1317/1_MidSize.jpg,[],[],3,100,0,0,0,FR,W
81494,300,"{""polyester"":100}",0,Jakayla,Kismet,embroidery,,embroidery,Vintage,Türkiye,0,curtain,http://kismettekstil.com/Content/Images/5651.300.81494.1317/1_MidSize.jpg,[],[],3,100,0,0,0,FR,W
81493,300,"{""polyester"":100}",0,Livia,Kismet,embroidery,,embroidery,Vintage,Türkiye,0,curtain,http://kismettekstil.com/Content/Images/5651.300.81493.1318/1_MidSize.jpg,[],[],3,100,0,0,0,FR,W
81465,300,"{""polyester"":100}",0,Cassidy,Kismet,embroidery,,embroidery,Vintage,Türkiye,0,curtain,http://kismettekstil.com/Content/Images/5651.300.81465.106/1_MidSize.jpg,[],[],3,100,0,0,0,FR,W
81437,300,"{""polyester"":100}",0,Melany,Kismet,embroidery,,embroidery,Vintage,Türkiye,0,curtain,http://kismettekstil.com/Content/Images/5651.300.81437.106/1_MidSize.jpg,[],[],3,100,0,0,0,FR,W
81436,300,"{""polyester"":100}",0,Emilia,Kismet,embroidery,,embroidery,Vintage,Türkiye,0,curtain,http://kismettekstil.com/Content/Images/5651.300.81436.1317/1_MidSize.jpg,[],[],3,100,0,0,0,FR,W
81433,300,"{""polyester"":100}",0,Teagan,Kismet,embroidery,,embroidery,Vintage,Türkiye,0,curtain,http://kismettekstil.com/Content/Images/5651.300.81433.1317/1_MidSize.jpg,[],[],3,100,0,0,0,FR,W
81430,300,"{""polyester"":100}",0,Britney,Kismet,embroidery,,embroidery,Vintage,Türkiye,0,curtain,http://kismettekstil.com/Content/Images/5651.300.81430.1317/1_MidSize.jpg,[],[],3,100,0,0,0,FR,W
81427,300,"{""polyester"":100}",0,Mariela,Kismet,embroidery,,embroidery,Vintage,Türkiye,0,curtain,http://kismettekstil.com/Content/Images/5651.300.81427.1317/1_MidSize.jpg,[],[],3,100,0,0,0,FR,W
